Date,Open,High,Low,Close,Adj Close,Volume
2000-09-05,4196.963867,4209.529785,4102.720703,4102.720703,3361.129883,306642
2000-09-06,4071.306396,4096.437988,4021.043213,4021.043213,3294.215820,148403
2000-09-07,4065.023438,4065.023438,4039.891846,4039.891846,3309.657471,48649
2000-09-08,4046.174805,4052.457764,4021.043213,4021.043213,3294.215820,566138
2000-09-11,4021.043213,4021.043213,3951.931641,3951.931641,3237.596191,136408
2000-09-12,3989.628906,3989.628906,3933.083008,3933.083008,3222.154541,276686
2000-09-13,3926.800049,3933.083008,3769.728027,3788.576660,3103.768555,230244
2000-09-14,3788.576660,3813.708252,3763.445313,3763.445313,3083.179688,761442
2000-09-15,3750.879395,3801.142578,3750.879395,3750.879395,3072.885010,491252
2000-09-18,3738.313721,3794.859619,3675.484863,3675.484863,3011.118652,135100
2000-09-19,3769.728027,3776.010986,3738.313721,3738.313721,3062.591309,219526
2000-09-20,3769.728027,3832.556885,3769.728027,3769.728027,3088.326660,174724
2000-09-21,3788.576660,3870.254150,3769.728027,3769.728027,3088.326660,846856
2000-09-22,3769.728027,3769.728027,3644.070557,3644.070557,2985.383301,501753
2000-09-25,3644.070557,3644.070557,3644.070557,3644.070557,2985.383301,0
2000-09-26,3706.899414,3763.445313,3706.899414,3706.899414,3036.854980,205792
2000-09-27,3769.728027,3794.859619,3769.728027,3769.728027,3088.326660,370089
2000-09-28,3769.728027,3769.728027,3644.070557,3644.070557,2985.383301,373728
2000-09-29,3738.313721,3738.313721,3644.070557,3644.070557,2985.383301,290576
2000-10-02,3644.070557,3725.747803,3644.070557,3644.070557,2985.383301,104877
2000-10-03,3769.728027,3895.385742,3769.728027,3769.728027,3088.326660,283965
2000-10-04,3832.556885,3838.839844,3832.556885,3832.556885,3139.799316,328118
2000-10-05,3832.556885,3832.556885,3782.293945,3807.425293,3119.210693,732765
2000-10-06,3807.425293,3832.556885,3788.576660,3788.576660,3103.768555,274659
2000-10-09,3807.425293,3807.425293,3738.313721,3738.313721,3062.591309,916560
